Species,Long,Lat
Kinkajou,-68.75,10.75
Kinkajou,-68.75,10.25
Kinkajou,-68.75,9.75
Kinkajou,-68.75,9.25
Kinkajou,-68.75,8.75
Kinkajou,-68.75,8.25
Kinkajou,-68.75,7.75
Kinkajou,-68.75,7.25
Kinkajou,-68.75,6.75
Kinkajou,-68.75,6.25
Kinkajou,-68.75,5.75
Kinkajou,-68.75,5.25
Kinkajou,-68.75,4.75
Kinkajou,-68.75,4.25
Kinkajou,-68.75,3.75
Kinkajou,-68.75,3.25
Kinkajou,-68.75,2.75
Kinkajou,-68.75,2.25
Kinkajou,-68.75,1.75
Kinkajou,-68.75,1.25
Kinkajou,-68.75,0.75
Kinkajou,-68.75,0.25
Kinkajou,-68.75,-0.25
Kinkajou,-68.75,-0.75
Kinkajou,-68.75,-1.25
Kinkajou,-68.75,-1.75
Kinkajou,-68.75,-2.25
Kinkajou,-68.75,-2.75
Kinkajou,-68.75,-3.25
Kinkajou,-68.75,-3.75
Kinkajou,-68.75,-4.25
Kinkajou,-68.75,-4.75
Kinkajou,-68.75,-5.25
Kinkajou,-68.75,-5.75
